Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
22-10-2018,21:22,Den Haag Centraal,21:47,Leiden Centraal,"€2,10","€0,00",Reis,2,Dal Voordeel,,
24-10-2018,13:35,Leiden Centraal,14:30,Amsterdam Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
24-10-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
24-10-2018,21:37,Amsterdam Centraal,22:28,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
25-10-2018,16:39,Leiden Centraal,17:28,Amsterdam Centraal,"€9,10","€0,00",Reis,2,Dal Voordeel,,
25-10-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
25-10-2018,21:23,Amsterdam Centraal,22:13,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
08-11-2018,19:07,Amsterdam Lelylaan,19:53,Leiden Centraal,"€4,80","€0,00",Reis,2,Dal Voordeel,,
11-11-2018,11:12,Sassenheim,11:50,Amsterdam Centraal,"€4,70","€0,00",Reis,2,Dal Voordeel,,
11-11-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
11-11-2018,14:34,Amsterdam Centraal,15:52,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
21-11-2018,13:31,Leiden Centraal,13:33,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
21-11-2018,13:39,Leiden Centraal,15:10,Maarssen,"€6,40","€0,00",Reis,2,Dal Voordeel,,
21-11-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
21-11-2018,19:16,Maarssen,20:40,Leiden Centraal,"€6,40","€0,00",Reis,2,Dal Voordeel,,
23-11-2018,18:05,Sassenheim,18:44,Amsterdam Lelylaan,"€6,60","€0,00",Reis,2,Dal Voordeel,,
24-11-2018,00:06,Amsterdam Lelylaan,00:42,Leiden Centraal,"€4,80","€0,00",Reis,2,Dal Voordeel,,
04-12-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
04-12-2018,10:57,Leiden Centraal,11:46,Amsterdam Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
04-12-2018,18:25,Amsterdam Centraal,19:13,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
05-12-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
05-12-2018,18:46,Leiden Centraal,19:16,Den Haag Centraal,"€2,10","€0,00",Reis,2,Dal Voordeel,,
07-12-2018,10:56,Leiden Centraal,11:49,Haarlem,"€3,50","€0,00",Reis,2,Dal Voordeel,,
07-12-2018,16:57,Amsterdam Centraal,17:41,Leiden Centraal,"€9,10","€0,00",Reis,2,Dal Voordeel,,
11-12-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
11-12-2018,17:36,Leiden Centraal,18:26,Amsterdam Centraal,"€9,10","€0,00",Reis,2,Dal Voordeel,,
